Minnesota,Rene Tosoni
Minnesota,Jason Repko
Minnesota,Joe Nathan
Minnesota,Jose Mijares
Minnesota,Phil Dumatrait
Minnesota,Anthony Swarzak
NY Mets,Jose Reyes
NY Mets,Justin Turner
NY Mets,Ruben Tejada
NY Mets,David Wright
NY Mets,Daniel Murphy
NY Mets,Angel Pagan
NY Mets,Jason Bay
NY Mets,Lucas Duda
NY Mets,Josh Thole
NY Mets,Ronny Paulino
NY Mets,Willie Harris
NY Mets,Jason Pridie
NY Mets,Mike Pelfrey
NY Mets,R. A. Dickey
NY Mets,Chris Capuano
NY Mets,Dillon Gee
NY Mets,Jonathon Niese
NY Mets,Tim Byrdak
NY Mets,Pedro Beato
NY Mets,Bobby Parnell
NY Mets,Mike Nickeas
NY Mets,Ike Davis
NY Mets,Scott Hairston
NY Mets,Nick Evans
NY Mets,Jason Isringhausen
NY Mets,D.J. Carrasco
NY Mets,Ryota Igarashi
NY Mets,Manny Acosta
NY Mets,Miguel Batista
NY Mets,Taylor Buchholz
NY Yankees,Derek Jeter
NY Yankees,Curtis Granderson
NY Yankees,Mark Teixeira
NY Yankees,Alex Rodriguez
NY Yankees,Robinson Cano
NY Yankees,Nick Swisher
NY Yankees,Jorge Posada
NY Yankees,Russell Martin
NY Yankees,Brett Gardner
NY Yankees,Francisco Cervelli
NY Yankees,Eduardo Nunez
NY Yankees,Andruw Jones
NY Yankees,CC Sabathia
NY Yankees,A.J. Burnett
NY Yankees,Ivan Nova
NY Yankees,Bartolo Colon
NY Yankees,Freddy Garcia
NY Yankees,David Robertson
NY Yankees,Mariano Rivera
NY Yankees,Boone Logan
NY Yankees,Jesus Montero
NY Yankees,Eric Chavez
NY Yankees,Chris Dickerson
NY Yankees,Phil Hughes
NY Yankees,Luis Ayala
NY Yankees,Aaron Laffey
NY Yankees,Rafael Soriano
NY Yankees,Cory Wade
NY Yankees,Scott Proctor
NY Yankees,Hector Noesi
Oakland,Jemile Weeks
Oakland,Coco Crisp
Oakland,Hideki Matsui
Oakland,Josh Willingham
Oakland,David DeJesus
Oakland,Scott Sizemore
Oakland,Kurt Suzuki
Oakland,Daric Barton
Oakland,Cliff Pennington
Oakland,Landon Powell
Oakland,Andy LaRoche
Oakland,Ryan Sweeney
Oakland,Trevor Cahill
Oakland,Gio Gonzalez
Oakland,Brandon McCarthy
Oakland,Guillermo Moscoso
Oakland,Brian Fuentes
Oakland,Craig Breslow
Oakland,Grant Balfour
Oakland,Andrew Bailey
Oakland,Brandon Allen
Oakland,Eric Sogard
Oakland,Adam Rosales
Oakland,Rich Harden
Oakland,Brett Anderson
Oakland,Josh Outman
Oakland,Michael Wuertz
Oakland,Fautino De Los Santos
Oakland,Joey Devine
Oakland,Jerry Blevins
Philadelphia,Jimmy Rollins
Philadelphia,Chase Utley
Philadelphia,Hunter Pence
Philadelphia,Ryan Howard
Philadelphia,Shane Victorino
Philadelphia,Raul Ibanez
Philadelphia,John Mayberry, Jr.
Philadelphia,Placido Polanco
Philadelphia,Carlos Ruiz
Philadelphia,Brian Schneider
Philadelphia,Wilson Valdez
Philadelphia,Ben Francisco
Philadelphia,Roy Halladay
Philadelphia,Cliff Lee
Philadelphia,Cole Hamels
Philadelphia,Roy Oswalt
Philadelphia,Vance Worley
Philadelphia,Antonio Bastardo
Philadelphia,Ryan Madson
Philadelphia,Michael Stutes
Philadelphia,Pete Orr
Philadelphia,Ross Gload
Philadelphia,Michael Martinez
Philadelphia,Domonic Brown
Philadelphia,Kyle Kendrick
Philadelphia,Joe Blanton
Philadelphia,David Herndon
Philadelphia,Danys Baez
Philadelphia,Brad Lidge
Philadelphia,Jose Contreras
Pittsburgh,Andrew McCutchen
Pittsburgh,Garrett  Jones
Pittsburgh,Jose Tabata
Pittsburgh,Xavier Paul
Pittsburgh,Neil Walker
Pittsburgh,Derrek Lee
Pittsburgh,Ryan Ludwick
Pittsburgh,Ryan Doumit
Pittsburgh,Pedro Alvarez
Pittsburgh,Brandon Wood
Pittsburgh,Michael McHenry
Pittsburgh,Ronny Cedeno
Pittsburgh,James McDonald
Pittsburgh,Charlie Morton
Pittsburgh,Jeff Karstens
Pittsburgh,Paul Maholm
Pittsburgh,Kevin Correia
Pittsburgh,Jose Veras
Pittsburgh,Chris Resop
Pittsburgh,Joel Hanrahan
Pittsburgh,Chris Snyder
Pittsburgh,Josh Harrison
Pittsburgh,Chase D'Arnaud
Pittsburgh,Steve Pearce
Pittsburgh,Alex Presley
Pittsburgh,Daniel McCutchen
Pittsburgh,Tony Watson
Pittsburgh,Joe Beimel
Pittsburgh,Daniel Moskos
Pittsburgh,Jason Grilli
San Diego,Will Venable
San Diego,Jason Bartlett
San Diego,Chase Headley
San Diego,Jesus Guzman
San Diego,Brad Hawpe
San Diego,Cameron Maybin
San Diego,Chris Denorfia
San Diego,Kyle Blanks
San Diego,Orlando Hudson
San Diego,Alberto Gonzalez
San Diego,Nick Hundley
San Diego,Rob Johnson
San Diego,Mat Latos
San Diego,Tim Stauffer
San Diego,Aaron Harang
San Diego,Dustin Moseley
San Diego,Chad Qualls
San Diego,Heath Bell
San Diego,Luke Gregerson
San Diego,Cory Luebke
San Diego,Anthony Rizzo
San Diego,Logan Forsythe
San Diego,Jorge Cantu
San Diego,Clayton Richard
San Diego,Wade LeBlanc
San Diego,Ernesto Frieri
San Diego,Josh Spence
San Diego,Jeff Fulchino
San Diego,Anthony Bass
San Diego,Pat Neshek
San Francisco,Andres Torres
San Francisco,Aaron Rowand
San Francisco,Jeff Keppinger
San Francisco,Carlos Beltran
San Francisco,Pablo Sandoval
San Francisco,Aubrey Huff
San Francisco,Cody Ross
San Francisco,Orlando Cabrera
San Francisco,Miguel Tejada
San Francisco,Eli Whiteside
San Francisco,Buster Posey
San Francisco,Nate Schierholtz
San Francisco,Matt Cain
San Francisco,Tim Lincecum
San Francisco,Madison Bumgarner
San Francisco,Ryan Vogelsong
San Francisco,Jonathan Sanchez
San Francisco,Javier Lopez
San Francisco,Jeremy Affeldt
San Francisco,Brian Wilson
San Francisco,Chris Stewart
San Francisco,Freddy Sanchez
San Francisco,Mike Fontenot
San Francisco,Brandon Crawford
San Francisco,Pat Burrell
San Francisco,Barry Zito
San Francisco,Ramon Ramirez
San Francisco,Sergio Romo
San Francisco,Guillermo Mota
San Francisco,Santiago Casilla
Seattle,Ichiro Suzuki
Seattle,Casper Wells
Seattle,Dustin Ackley
Seattle,Mike Carp
Seattle,Justin Smoak
Seattle,Miguel Olivo
Seattle,Adam Kennedy
Seattle,Franklin Gutierrez
Seattle,Brendan Ryan
Seattle,Josh Bard
Seattle,Kyle Seager
Seattle,Chone Figgins
Seattle,Felix Hernandez
Seattle,Jason Vargas
Seattle,Michael Pineda
Seattle,Blake Beavan
Seattle,Brandon League
Seattle,Jamey Wright
Seattle,Jeff Gray
Seattle,Charlie Furbush
Seattle,Luis Rodriguez
Seattle,Jack Cust
Seattle,Michael Saunders
Seattle,Carlos Peguero
Seattle,Trayvon Robinson
Seattle,Wily Mo Pena
Seattle,Chris Ray
Seattle,Tom Wilhelmsen
Seattle,Josh Lueke
Seattle,Chance Ruffin
St Louis,Skip Schumaker
St Louis,Rafael Furcal
St Louis,Jon Jay
St Louis,Albert Pujols
St Louis,Matt Holliday
St Louis,Lance Berkman
St Louis,David Freese
St Louis,Yadier Molina
St Louis,Ryan Theriot
St Louis,Gerald Laird
St Louis,Daniel Descalso
St Louis,Allen Craig
St Louis,Chris Carpenter
St Louis,Jake Westbrook
St Louis,Jaime Garcia
St Louis,Edwin Jackson
St Louis,Kyle Lohse
St Louis,Jason Motte
St Louis,Marc Rzepczynski
St Louis,Fernando Salas
St Louis,Tony Cruz
St Louis,Nick Punto
St Louis,Tyler Greene
St Louis,Corey Patterson
St Louis,Octavio Dotel
St Louis,Arthur Rhodes
St Louis,Mitchell Boggs
St Louis,Kyle McClellan
St Louis,Eduardo Sanchez
St Louis,Lance Lynn
Tampa Bay,Sam Fuld
Tampa Bay,Desmond Jennings
Tampa Bay,Johnny Damon
Tampa Bay,Evan Longoria
Tampa Bay,Ben Zobrist
Tampa Bay,Casey Kotchman
Tampa Bay,B.J. Upton
Tampa Bay,Matt Joyce
Tampa Bay,John Jaso
Tampa Bay,Kelly Shoppach
Tampa Bay,Sean Rodriguez
Tampa Bay,Reid Brignac
Tampa Bay,David Price
Tampa Bay,James Shields
Tampa Bay,Jeremy Hellickson
Tampa Bay,Wade Davis
Tampa Bay,Jeff Niemann
Tampa Bay,Joel Peralta
Tampa Bay,Kyle Farnsworth
Tampa Bay,Cesar Ramos
Tampa Bay,Dan Johnson
Tampa Bay,Elliot Johnson
Tampa Bay,Justin Ruggiano
Tampa Bay,Alex Cobb
Tampa Bay,Juan Cruz
Tampa Bay,J.P. Howell
Tampa Bay,Brandon Gomes
Tampa Bay,Adam Russell
Tampa Bay,Jake McGee
Tampa Bay,Andy Sonnanstine
Texas,Ian Kinsler
Texas,Elvis Andrus
Texas,Josh Hamilton
Texas,Michael Young
Texas,Adrian Beltre
Texas,Nelson Cruz
Texas,David Murphy
Texas,Yorvit Torrealba
Texas,Mike Napoli
Texas,Mitch Moreland
Texas,Endy Chavez
Texas,Andres Blanco
Texas,C.J. Wilson
Texas,Colby Lewis
Texas,Derek Holland
Texas,Matt Harrison
Texas,Alexi Ogando
Texas,Mike Adams
Texas,Koji Uehara
Texas,Neftali Feliz
Texas,Matt Treanor
Texas,Taylor Teagarden
Texas,Craig Gentry
Texas,Julio Borbon
Texas,Darren Oliver
Texas,Mike Gonzalez
Texas,Mark Lowe
Texas,Yoshinori Tateyama
Texas,David Bush
Texas,Darren O'Day
Toronto,Yunel Escobar
Toronto,Eric Thames
Toronto,Jose Bautista
Toronto,Adam Lind
Toronto,Edwin Encarnacion
Toronto,Kelly Johnson
Toronto,Brett Lawrie
Toronto,Colby Rasmus
Toronto,Rajai Davis
Toronto,J.P. Arencibia
Toronto,Jose Molina
